car,model_year,country,attribute,value
oldsmobile omega brougham,1979,USA,Weight,2700.0
pontiac phoenix,1979,USA,Weight,2556.0
vw rabbit,1980,Europe,Weight,2144.0
toyota corolla tercel,1980,Japan,Weight,1968.0
chevrolet chevette,1980,USA,Weight,2120.0
datsun 310,1980,Japan,Weight,2019.0
chevrolet citation,1980,USA,Weight,2678.0
ford fairmont,1980,USA,Weight,2870.0
amc concord,1980,USA,Weight,3003.0
dodge aspen,1980,USA,Weight,3381.0
audi 4000,1980,Europe,Weight,2188.0
toyota corona liftback,1980,Japan,Weight,2711.0
mazda 626,1980,Japan,Weight,2542.0
datsun 510 hatchback,1980,Japan,Weight,2434.0
toyota corolla,1980,Japan,Weight,2265.0
mazda glc,1980,Japan,Weight,2110.0
dodge colt,1980,USA,Weight,2800.0
datsun 210,1980,Japan,Weight,2110.0
vw rabbit c (diesel),1980,Europe,Weight,2085.0
vw dasher (diesel),1980,Europe,Weight,2335.0
audi 5000s (diesel),1980,Europe,Weight,2950.0
mercedes-benz 240d,1980,Europe,Weight,3250.0
honda civic 1500 gl,1980,Japan,Weight,1850.0
renault lecar deluxe,1980,Europe,Weight,1835.0
subaru dl,1980,Japan,Weight,2145.0
vokswagen rabbit,1980,Europe,Weight,1845.0
datsun 280-zx,1980,Japan,Weight,2910.0
mazda rx-7 gs,1980,Japan,Weight,2420.0
triumph tr7 coupe,1980,Europe,Weight,2500.0
ford mustang cobra,1980,USA,Weight,2905.0
honda accord,1980,Japan,Weight,2290.0
plymouth reliant,1981,USA,Weight,2490.0
buick skylark,1981,USA,Weight,2635.0
dodge aries wagon (sw),1981,USA,Weight,2620.0
chevrolet citation,1981,USA,Weight,2725.0
plymouth reliant,1981,USA,Weight,2385.0
toyota starlet,1981,Japan,Weight,1755.0
plymouth champ,1981,USA,Weight,1875.0
honda civic 1300,1981,Japan,Weight,1760.0
subaru,1981,Japan,Weight,2065.0
datsun 210 mpg,1981,Japan,Weight,1975.0
toyota tercel,1981,Japan,Weight,2050.0
mazda glc 4,1981,Japan,Weight,1985.0
plymouth horizon 4,1981,USA,Weight,2215.0
ford escort 4w,1981,USA,Weight,2045.0
ford escort 2h,1981,USA,Weight,2380.0
volkswagen jetta,1981,Europe,Weight,2190.0
renault 18i,1981,Europe,Weight,2320.0
honda prelude,1981,Japan,Weight,2210.0
toyota corolla,1981,Japan,Weight,2350.0
datsun 200sx,1981,Japan,Weight,2615.0
mazda 626,1981,Japan,Weight,2635.0
peugeot 505s turbo diesel,1981,Europe,Weight,3230.0
volvo diesel,1981,Europe,Weight,3160.0
toyota cressida,1981,Japan,Weight,2900.0
datsun 810 maxima,1981,Japan,Weight,2930.0
buick century,1981,USA,Weight,3415.0
oldsmobile cutlass ls,1981,USA,Weight,3725.0
ford granada gl,1981,USA,Weight,3060.0
chrysler lebaron salon,1981,USA,Weight,3465.0
chevrolet cavalier,1982,USA,Weight,2605.0
chevrolet cavalier wagon,1982,USA,Weight,2640.0
chevrolet cavalier 2-door,1982,USA,Weight,2395.0
pontiac j2000 se hatchback,1982,USA,Weight,2575.0
dodge aries se,1982,USA,Weight,2525.0
pontiac phoenix,1982,USA,Weight,2735.0
ford fairmont futura,1982,USA,Weight,2865.0
amc concord dl,1982,USA,Weight,3035.0
volkswagen rabbit l,1982,Europe,Weight,1980.0
mazda glc custom l,1982,Japan,Weight,2025.0
mazda glc custom,1982,Japan,Weight,1970.0
plymouth horizon miser,1982,USA,Weight,2125.0
mercury lynx l,1982,USA,Weight,2125.0
nissan stanza xe,1982,Japan,Weight,2160.0
honda accord,1982,Japan,Weight,2205.0
toyota corolla,1982,Japan,Weight,2245.0
honda civic,1982,Japan,Weight,1965.0
honda civic (auto),1982,Japan,Weight,1965.0
datsun 310 gx,1982,Japan,Weight,1995.0
buick century limited,1982,USA,Weight,2945.0
oldsmobile cutlass ciera (diesel),1982,USA,Weight,3015.0
chrysler lebaron medallion,1982,USA,Weight,2585.0
ford granada l,1982,USA,Weight,2835.0
toyota celica gt,1982,Japan,Weight,2665.0
dodge charger 2.2,1982,USA,Weight,2370.0
chevrolet camaro,1982,USA,Weight,2950.0
ford mustang gl,1982,USA,Weight,2790.0
vw pickup,1982,Europe,Weight,2130.0
dodge rampage,1982,USA,Weight,2295.0
ford ranger,1982,USA,Weight,2625.0
chevy s-10,1982,USA,Weight,2720.0
chevrolet chevelle malibu,1970,USA,Price,25561.59078
buick skylark 320,1970,USA,Price,24221.42273
plymouth satellite,1970,USA,Price,27240.84373
amc rebel sst,1970,USA,Price,33684.96888
ford torino,1970,USA,Price,20000.0
ford galaxie 500,1970,USA,Price,30000.0
chevrolet impala,1970,USA,Price,35764.3349
plymouth fury iii,1970,USA,Price,25899.46557
pontiac catalina,1970,USA,Price,32882.53714
amc ambassador dpl,1970,USA,Price,32617.05928
dodge challenger se,1970,USA,Price,30000.0
plymouth 'cuda 340,1970,USA,Price,33034.92261
chevrolet monte carlo,1970,USA,Price,30000.0
buick estate wagon (sw),1970,USA,Price,26608.32842
toyota corona mark ii,1970,Japan,Price,36927.0666
plymouth duster,1970,USA,Price,12561.10337
amc hornet,1970,USA,Price,24260.62236
ford maverick,1970,USA,Price,14228.30388
datsun pl510,1970,Japan,Price,15802.23935
volkswagen 1131 deluxe sedan,1970,Europe,Price,27471.29241
peugeot 504,1970,Europe,Price,40000.0
audi 100 ls,1970,Europe,Price,35897.43951
saab 99e,1970,Europe,Price,16905.84258
bmw 2002,1970,Europe,Price,15047.98937
amc gremlin,1970,USA,Price,14045.89513
ford f250,1970,USA,Price,25797.48544
chevy c20,1970,USA,Price,40000.0
dodge d200,1970,USA,Price,24928.42041
hi 1200d,1970,USA,Price,45072.56865
datsun pl510,1971,Japan,Price,16992.08152
chevrolet vega 2300,1971,USA,Price,13206.433
toyota corona,1971,Japan,Price,27078.79795
ford pinto,1971,USA,Price,26417.43542
amc gremlin,1971,USA,Price,30000.0
plymouth satellite custom,1971,USA,Price,44534.97074
chevrolet chevelle malibu,1971,USA,Price,40000.0
ford torino 500,1971,USA,Price,30000.0
amc matador,1971,USA,Price,33970.66561
chevrolet impala,1971,USA,Price,40000.0
pontiac catalina brougham,1971,USA,Price,33793.72284
ford galaxie 500,1971,USA,Price,30000.0
plymouth fury iii,1971,USA,Price,15358.86347
dodge monaco (sw),1971,USA,Price,23414.4171
ford country squire (sw),1971,USA,Price,44211.91218
pontiac safari (sw),1971,USA,Price,20000.0
amc hornet sportabout (sw),1971,USA,Price,33328.42698
chevrolet vega (sw),1971,USA,Price,20000.0
pontiac firebird,1971,USA,Price,20000.0
ford mustang,1971,USA,Price,40000.0
mercury capri 2000,1971,USA,Price,27435.39589
opel 1900,1971,Europe,Price,20000.0
peugeot 304,1971,Europe,Price,36587.11859
fiat 124b,1971,Europe,Price,23790.82939
toyota corolla 1200,1971,Japan,Price,30000.0
datsun 1200,1971,Japan,Price,40000.0
volkswagen model 111,1971,Europe,Price,30000.0
plymouth cricket,1971,USA,Price,40000.0
toyota corona hardtop,1972,Japan,Price,40000.0
dodge colt hardtop,1972,USA,Price,20000.0
volkswagen type 3,1972,Europe,Price,26196.50504
chevrolet vega,1972,USA,Price,33019.20813
ford pinto runabout,1972,USA,Price,36453.30104
chevrolet impala,1972,USA,Price,40000.0
pontiac catalina,1972,USA,Price,26062.79358
plymouth fury iii,1972,USA,Price,34663.83946
ford galaxie 500,1972,USA,Price,20000.0
amc ambassador sst,1972,USA,Price,20000.0
mercury marquis,1972,USA,Price,16223.26834
buick lesabre custom,1972,USA,Price,5975.709529
oldsmobile delta 88 royale,1972,USA,Price,40000.0
chrysler newport royal,1972,USA,Price,33048.80117
mazda rx2 coupe,1972,Japan,Price,25558.0312
amc matador (sw),1972,USA,Price,1598.07337
chevrolet chevelle concours (sw),1972,USA,Price,20000.0
ford gran torino (sw),1972,USA,Price,30000.0
plymouth satellite custom (sw),1972,USA,Price,26693.71811
volvo 145e (sw),1972,Europe,Price,30000.0
volkswagen 411 (sw),1972,Europe,Price,40000.0
peugeot 504 (sw),1972,Europe,Price,16035.29706
renault 12 (sw),1972,Europe,Price,44239.24934
ford pinto (sw),1972,USA,Price,20000.0
datsun 510 (sw),1972,Japan,Price,36556.74415
toyouta corona mark ii (sw),1972,Japan,Price,30000.0
dodge colt (sw),1972,USA,Price,20000.0
toyota corolla 1600 (sw),1972,Japan,Price,35088.02866
buick century 350,1973,USA,Price,20000.0
amc matador,1973,USA,Price,30000.0
chevrolet malibu,1973,USA,Price,24364.52222
ford gran torino,1973,USA,Price,50306.15305
dodge coronet custom,1973,USA,Price,30000.0
mercury marquis brougham,1973,USA,Price,30000.0
chevrolet caprice classic,1973,USA,Price,35052.19209
ford ltd,1973,USA,Price,36489.40106
plymouth fury gran sedan,1973,USA,Price,53745.93806
chrysler new yorker brougham,1973,USA,Price,40000.0
buick electra 225 custom,1973,USA,Price,26260.63473
amc ambassador brougham,1973,USA,Price,40000.0
plymouth valiant,1973,USA,Price,23283.52468
chevrolet nova custom,1973,USA,Price,30000.0
amc hornet,1973,USA,Price,30000.0
ford maverick,1973,USA,Price,33726.80756
plymouth duster,1973,USA,Price,25211.02753
volkswagen super beetle,1973,Europe,Price,35994.52571
chevrolet impala,1973,USA,Price,24794.07439
ford country,1973,USA,Price,20000.0
plymouth custom suburb,1973,USA,Price,34078.91407
oldsmobile vista cruiser,1973,USA,Price,34538.97449
amc gremlin,1973,USA,Price,17410.01544
toyota carina,1973,Japan,Price,40000.0
chevrolet vega,1973,USA,Price,43478.05811
datsun 610,1973,Japan,Price,20000.0
maxda rx3,1973,Japan,Price,47897.3504
ford pinto,1973,USA,Price,40000.0
mercury capri v6,1973,USA,Price,30000.0
fiat 124 sport coupe,1973,Europe,Price,20000.0
chevrolet monte carlo s,1973,USA,Price,26355.63972
pontiac grand prix,1973,USA,Price,27104.01182
fiat 128,1973,Europe,Price,30000.0
opel manta,1973,Europe,Price,30000.0
audi 100ls,1973,Europe,Price,36717.9042
volvo 144ea,1973,Europe,Price,30000.0
dodge dart custom,1973,USA,Price,40000.0
saab 99le,1973,Europe,Price,30000.0
toyota mark ii,1973,Japan,Price,30000.0
oldsmobile omega,1973,USA,Price,9006.648949
plymouth duster,1974,USA,Price,20000.0
ford maverick,1974,USA,Price,36836.73869
amc hornet,1974,USA,Price,30000.0
chevrolet nova,1974,USA,Price,34166.88994
datsun b210,1974,Japan,Price,30000.0
ford pinto,1974,USA,Price,40000.0
toyota corolla 1200,1974,Japan,Price,50430.44287
chevrolet vega,1974,USA,Price,30000.0
chevrolet chevelle malibu classic,1974,USA,Price,20000.0
amc matador,1974,USA,Price,35815.10738
plymouth satellite sebring,1974,USA,Price,30000.0
ford gran torino,1974,USA,Price,27027.84106
buick century luxus (sw),1974,USA,Price,20000.0
dodge coronet custom (sw),1974,USA,Price,30000.0
ford gran torino (sw),1974,USA,Price,43956.27279
amc matador (sw),1974,USA,Price,30000.0
audi fox,1974,Europe,Price,27392.70399
volkswagen dasher,1974,Europe,Price,40000.0
opel manta,1974,Europe,Price,10064.41815
toyota corona,1974,Japan,Price,20000.0
datsun 710,1974,Japan,Price,22599.02117
dodge colt,1974,USA,Price,30000.0
fiat 128,1974,Europe,Price,36359.77243
fiat 124 tc,1974,Europe,Price,24285.00304
honda civic,1974,Japan,Price,30000.0
subaru,1974,Japan,Price,26414.50827
fiat x1.9,1974,Europe,Price,8068.231747
plymouth valiant custom,1975,USA,Price,20000.0
chevrolet nova,1975,USA,Price,35725.20247
mercury monarch,1975,USA,Price,12388.96045
ford maverick,1975,USA,Price,30000.0
pontiac catalina,1975,USA,Price,40000.0
chevrolet bel air,1975,USA,Price,8844.146509
plymouth grand fury,1975,USA,Price,7250.279362
ford ltd,1975,USA,Price,40000.0
buick century,1975,USA,Price,43913.81789
chevroelt chevelle malibu,1975,USA,Price,16545.00951
amc matador,1975,USA,Price,25349.77729
plymouth fury,1975,USA,Price,30000.0
buick skyhawk,1975,USA,Price,34085.80564
chevrolet monza 2+2,1975,USA,Price,30000.0
ford mustang ii,1975,USA,Price,34458.38738
toyota corolla,1975,Japan,Price,30000.0
ford pinto,1975,USA,Price,16968.55626
amc gremlin,1975,USA,Price,22601.17848
pontiac astro,1975,USA,Price,30000.0
toyota corona,1975,Japan,Price,5579.395792
volkswagen dasher,1975,Europe,Price,34295.65704
datsun 710,1975,Japan,Price,24359.88558
ford pinto,1975,USA,Price,40000.0
volkswagen rabbit,1975,Europe,Price,23555.60639
amc pacer,1975,USA,Price,25780.19772
audi 100ls,1975,Europe,Price,16577.46275
peugeot 504,1975,Europe,Price,30000.0
volvo 244dl,1975,Europe,Price,40000.0
saab 99le,1975,Europe,Price,17080.97861
honda civic cvcc,1975,Japan,Price,25436.92235
fiat 131,1976,Europe,Price,37495.99581
opel 1900,1976,Europe,Price,23325.54657
capri ii,1976,USA,Price,30000.0
dodge colt,1976,USA,Price,33128.29366
renault 12tl,1976,Europe,Price,30000.0
chevrolet chevelle malibu classic,1976,USA,Price,25546.68687
dodge coronet brougham,1976,USA,Price,20000.0
amc matador,1976,USA,Price,20000.0
ford gran torino,1976,USA,Price,47075.03525
plymouth valiant,1976,USA,Price,40000.0
chevrolet nova,1976,USA,Price,44633.99433
ford maverick,1976,USA,Price,50179.77946
amc hornet,1976,USA,Price,13136.84754
chevrolet chevette,1976,USA,Price,40000.0
chevrolet woody,1976,USA,Price,30000.0
vw rabbit,1976,Europe,Price,20000.0
honda civic,1976,Japan,Price,40000.0
dodge aspen se,1976,USA,Price,30000.0
ford granada ghia,1976,USA,Price,26411.47262
pontiac ventura sj,1976,USA,Price,26090.2785
amc pacer d/l,1976,USA,Price,30000.0
volkswagen rabbit,1976,Europe,Price,23640.67856
datsun b-210,1976,Japan,Price,34072.29922
toyota corolla,1976,Japan,Price,22682.07397
ford pinto,1976,USA,Price,40000.0
volvo 245,1976,Europe,Price,40000.0
plymouth volare premier v8,1976,USA,Price,22781.28062
peugeot 504,1976,Europe,Price,26121.73551
toyota mark ii,1976,Japan,Price,14501.04894
mercedes-benz 280s,1976,Europe,Price,24937.67586
cadillac seville,1976,USA,Price,16557.22502
chevy c10,1976,USA,Price,30000.0
ford f108,1976,USA,Price,20000.0
dodge d100,1976,USA,Price,20000.0
honda accord cvcc,1977,Japan,Price,16288.27844
buick opel isuzu deluxe,1977,USA,Price,25530.81022
renault 5 gtl,1977,Europe,Price,20000.0
plymouth arrow gs,1977,USA,Price,30000.0
datsun f-10 hatchback,1977,Japan,Price,30000.0
chevrolet caprice classic,1977,USA,Price,30000.0
oldsmobile cutlass supreme,1977,USA,Price,30000.0
dodge monaco brougham,1977,USA,Price,40000.0
mercury cougar brougham,1977,USA,Price,20000.0
chevrolet concours,1977,USA,Price,20000.0
buick skylark,1977,USA,Price,30000.0
plymouth volare custom,1977,USA,Price,26631.00577
ford granada,1977,USA,Price,36453.91629
pontiac grand prix lj,1977,USA,Price,16330.96319
chevrolet monte carlo landau,1977,USA,Price,40000.0
chrysler cordoba,1977,USA,Price,20000.0
ford thunderbird,1977,USA,Price,40000.0
volkswagen rabbit custom,1977,Europe,Price,44398.38956
pontiac sunbird coupe,1977,USA,Price,22768.36337
toyota corolla liftback,1977,Japan,Price,24051.71225
ford mustang ii 2+2,1977,USA,Price,30000.0
chevrolet chevette,1977,USA,Price,40000.0
dodge colt m/m,1977,USA,Price,36578.74535
subaru dl,1977,Japan,Price,32735.65751
volkswagen dasher,1977,Europe,Price,20000.0
datsun 810,1977,Japan,Price,42883.25641
bmw 320i,1977,Europe,Price,23927.44248
mazda rx-4,1977,Japan,Price,23761.78388
volkswagen rabbit custom diesel,1978,Europe,Price,30000.0
ford fiesta,1978,USA,Price,30000.0
mazda glc deluxe,1978,Japan,Price,32914.19287
datsun b210 gx,1978,Japan,Price,40000.0
honda civic cvcc,1978,Japan,Price,30000.0
oldsmobile cutlass salon brougham,1978,USA,Price,30000.0
dodge diplomat,1978,USA,Price,40000.0
mercury monarch ghia,1978,USA,Price,34088.83024
pontiac phoenix lj,1978,USA,Price,30000.0
chevrolet malibu,1978,USA,Price,20000.0
ford fairmont (auto),1978,USA,Price,30000.0
ford fairmont (man),1978,USA,Price,40000.0
plymouth volare,1978,USA,Price,30000.0
amc concord,1978,USA,Price,30000.0
buick century special,1978,USA,Price,40000.0
mercury zephyr,1978,USA,Price,33560.68798
dodge aspen,1978,USA,Price,33043.99134
amc concord d/l,1978,USA,Price,25625.9722
chevrolet monte carlo landau,1978,USA,Price,50024.68887
buick regal sport coupe (turbo),1978,USA,Price,20000.0
ford futura,1978,USA,Price,35375.46418
dodge magnum xe,1978,USA,Price,26331.12328
chevrolet chevette,1978,USA,Price,49295.84839
toyota corona,1978,Japan,Price,30000.0
datsun 510,1978,Japan,Price,35110.41972
dodge omni,1978,USA,Price,24166.91123
toyota celica gt liftback,1978,Japan,Price,14511.79472
plymouth sapporo,1978,USA,Price,36338.23478
oldsmobile starfire sx,1978,USA,Price,30000.0
datsun 200-sx,1978,Japan,Price,47709.82064
audi 5000,1978,Europe,Price,43261.82962
volvo 264gl,1978,Europe,Price,44815.87905
saab 99gle,1978,Europe,Price,47597.90265
peugeot 604sl,1978,Europe,Price,23051.89547
volkswagen scirocco,1978,Europe,Price,30000.0
honda accord lx,1978,Japan,Price,20000.0
pontiac lemans v6,1979,USA,Price,20000.0
mercury zephyr 6,1979,USA,Price,37443.85589
ford fairmont 4,1979,USA,Price,20000.0
amc concord dl 6,1979,USA,Price,12840.57863
dodge aspen 6,1979,USA,Price,26927.11569
chevrolet caprice classic,1979,USA,Price,30000.0
ford ltd landau,1979,USA,Price,52480.06755
mercury grand marquis,1979,USA,Price,13073.58541
dodge st. regis,1979,USA,Price,8766.444652
buick estate wagon (sw),1979,USA,Price,24606.12234
ford country squire (sw),1979,USA,Price,25696.08888
chevrolet malibu classic (sw),1979,USA,Price,26157.23515
chrysler lebaron town @ country (sw),1979,USA,Price,14944.48848
vw rabbit custom,1979,Europe,Price,40000.0
maxda glc deluxe,1979,Japan,Price,20000.0
dodge colt hatchback custom,1979,USA,Price,44271.59324
amc spirit dl,1979,USA,Price,40000.0
mercedes benz 300d,1979,Europe,Price,20000.0
cadillac eldorado,1979,USA,Price,44274.40748
peugeot 504,1979,Europe,Price,24639.37404
oldsmobile cutlass salon brougham,1979,USA,Price,33062.12043
plymouth horizon,1979,USA,Price,30000.0
plymouth horizon tc3,1979,USA,Price,22906.70081
datsun 210,1979,Japan,Price,30000.0
fiat strada custom,1979,Europe,Price,30000.0
buick skylark limited,1979,USA,Price,33322.52047
chevrolet citation,1979,USA,Price,30000.0
oldsmobile omega brougham,1979,USA,Price,45923.53551
pontiac phoenix,1979,USA,Price,49548.62273
vw rabbit,1980,Europe,Price,48911.31371
toyota corolla tercel,1980,Japan,Price,20000.0
chevrolet chevette,1980,USA,Price,8400.696736
datsun 310,1980,Japan,Price,34035.28481
chevrolet citation,1980,USA,Price,34799.28206
ford fairmont,1980,USA,Price,17032.34506
amc concord,1980,USA,Price,30000.0
dodge aspen,1980,USA,Price,30000.0
audi 4000,1980,Europe,Price,40000.0
toyota corona liftback,1980,Japan,Price,40000.0
mazda 626,1980,Japan,Price,27206.13784
datsun 510 hatchback,1980,Japan,Price,47697.07716
toyota corolla,1980,Japan,Price,30000.0
mazda glc,1980,Japan,Price,30000.0
dodge colt,1980,USA,Price,52035.83362
datsun 210,1980,Japan,Price,26407.84375
vw rabbit c (diesel),1980,Europe,Price,51239.14421
vw dasher (diesel),1980,Europe,Price,40000.0
audi 5000s (diesel),1980,Europe,Price,44494.54404
mercedes-benz 240d,1980,Europe,Price,20000.0
honda civic 1500 gl,1980,Japan,Price,20000.0
renault lecar deluxe,1980,Europe,Price,32650.65157
subaru dl,1980,Japan,Price,35335.98307
vokswagen rabbit,1980,Europe,Price,30000.0
datsun 280-zx,1980,Japan,Price,25944.32515
mazda rx-7 gs,1980,Japan,Price,44730.24616
triumph tr7 coupe,1980,Europe,Price,30000.0
ford mustang cobra,1980,USA,Price,24749.73654
honda accord,1980,Japan,Price,40000.0
plymouth reliant,1981,USA,Price,43221.37222
buick skylark,1981,USA,Price,20000.0
dodge aries wagon (sw),1981,USA,Price,11460.90571
chevrolet citation,1981,USA,Price,40000.0
plymouth reliant,1981,USA,Price,33838.41277
toyota starlet,1981,Japan,Price,30000.0
plymouth champ,1981,USA,Price,24040.39328
honda civic 1300,1981,Japan,Price,26717.10084
subaru,1981,Japan,Price,13900.61538
datsun 210 mpg,1981,Japan,Price,17268.17018
toyota tercel,1981,Japan,Price,50475.68786
mazda glc 4,1981,Japan,Price,49150.57563
plymouth horizon 4,1981,USA,Price,30000.0
ford escort 4w,1981,USA,Price,20000.0
ford escort 2h,1981,USA,Price,20000.0
volkswagen jetta,1981,Europe,Price,30000.0
renault 18i,1981,Europe,Price,30000.0
honda prelude,1981,Japan,Price,20000.0
toyota corolla,1981,Japan,Price,30000.0
datsun 200sx,1981,Japan,Price,30000.0
mazda 626,1981,Japan,Price,40000.0
peugeot 505s turbo diesel,1981,Europe,Price,20000.0
volvo diesel,1981,Europe,Price,40000.0
toyota cressida,1981,Japan,Price,30000.0
datsun 810 maxima,1981,Japan,Price,32646.39951
buick century,1981,USA,Price,25571.46894
oldsmobile cutlass ls,1981,USA,Price,30000.0
ford granada gl,1981,USA,Price,30000.0
chrysler lebaron salon,1981,USA,Price,23723.77532
chevrolet cavalier,1982,USA,Price,27234.66428
chevrolet cavalier wagon,1982,USA,Price,42666.91377
chevrolet cavalier 2-door,1982,USA,Price,40000.0
pontiac j2000 se hatchback,1982,USA,Price,27074.39484
dodge aries se,1982,USA,Price,20000.0
pontiac phoenix,1982,USA,Price,33111.13808
ford fairmont futura,1982,USA,Price,51186.91521
amc concord dl,1982,USA,Price,37179.28797
volkswagen rabbit l,1982,Europe,Price,33472.79144
mazda glc custom l,1982,Japan,Price,44607.86606
mazda glc custom,1982,Japan,Price,34686.42339
plymouth horizon miser,1982,USA,Price,48111.1021
mercury lynx l,1982,USA,Price,30000.0
nissan stanza xe,1982,Japan,Price,34612.00874
honda accord,1982,Japan,Price,30000.0
toyota corolla,1982,Japan,Price,30000.0
honda civic,1982,Japan,Price,30000.0
honda civic (auto),1982,Japan,Price,30000.0
datsun 310 gx,1982,Japan,Price,30000.0
buick century limited,1982,USA,Price,25289.83381
oldsmobile cutlass ciera (diesel),1982,USA,Price,9944.306349
chrysler lebaron medallion,1982,USA,Price,34986.21836
ford granada l,1982,USA,Price,22973.01943
toyota celica gt,1982,Japan,Price,20000.0
dodge charger 2.2,1982,USA,Price,17421.6269
chevrolet camaro,1982,USA,Price,12550.0
ford mustang gl,1982,USA,Price,13432.5
vw pickup,1982,Europe,Price,37000.0
dodge rampage,1982,USA,Price,47800.0
ford ranger,1982,USA,Price,46000.0
chevy s-10,1982,USA,Price,9000.0
chevrolet chevelle malibu,1970,USA,HP,130.0
buick skylark 320,1970,USA,HP,165.0
plymouth satellite,1970,USA,HP,150.0
amc rebel sst,1970,USA,HP,150.0
ford torino,1970,USA,HP,140.0
ford galaxie 500,1970,USA,HP,198.0
chevrolet impala,1970,USA,HP,220.0
plymouth fury iii,1970,USA,HP,215.0
pontiac catalina,1970,USA,HP,225.0
amc ambassador dpl,1970,USA,HP,190.0
dodge challenger se,1970,USA,HP,170.0
plymouth 'cuda 340,1970,USA,HP,160.0
chevrolet monte carlo,1970,USA,HP,150.0
buick estate wagon (sw),1970,USA,HP,225.0
toyota corona mark ii,1970,Japan,HP,95.0
plymouth duster,1970,USA,HP,95.0
amc hornet,1970,USA,HP,97.0
ford maverick,1970,USA,HP,85.0
datsun pl510,1970,Japan,HP,88.0
volkswagen 1131 deluxe sedan,1970,Europe,HP,46.0
peugeot 504,1970,Europe,HP,87.0
audi 100 ls,1970,Europe,HP,90.0
saab 99e,1970,Europe,HP,95.0
bmw 2002,1970,Europe,HP,113.0
amc gremlin,1970,USA,HP,90.0
ford f250,1970,USA,HP,215.0
chevy c20,1970,USA,HP,200.0
dodge d200,1970,USA,HP,210.0
hi 1200d,1970,USA,HP,193.0
datsun pl510,1971,Japan,HP,88.0
chevrolet vega 2300,1971,USA,HP,90.0
toyota corona,1971,Japan,HP,95.0
amc gremlin,1971,USA,HP,100.0
plymouth satellite custom,1971,USA,HP,105.0
chevrolet chevelle malibu,1971,USA,HP,100.0
ford torino 500,1971,USA,HP,88.0
amc matador,1971,USA,HP,100.0
chevrolet impala,1971,USA,HP,165.0
pontiac catalina brougham,1971,USA,HP,175.0
ford galaxie 500,1971,USA,HP,153.0
plymouth fury iii,1971,USA,HP,150.0
dodge monaco (sw),1971,USA,HP,180.0
ford country squire (sw),1971,USA,HP,170.0
pontiac safari (sw),1971,USA,HP,175.0
amc hornet sportabout (sw),1971,USA,HP,110.0
chevrolet vega (sw),1971,USA,HP,72.0
pontiac firebird,1971,USA,HP,100.0
ford mustang,1971,USA,HP,88.0
mercury capri 2000,1971,USA,HP,86.0
opel 1900,1971,Europe,HP,90.0
peugeot 304,1971,Europe,HP,70.0
fiat 124b,1971,Europe,HP,76.0
toyota corolla 1200,1971,Japan,HP,65.0
datsun 1200,1971,Japan,HP,69.0
volkswagen model 111,1971,Europe,HP,60.0
plymouth cricket,1971,USA,HP,70.0
toyota corona hardtop,1972,Japan,HP,95.0
dodge colt hardtop,1972,USA,HP,80.0
volkswagen type 3,1972,Europe,HP,54.0
chevrolet vega,1972,USA,HP,90.0
ford pinto runabout,1972,USA,HP,86.0
chevrolet impala,1972,USA,HP,165.0
pontiac catalina,1972,USA,HP,175.0
plymouth fury iii,1972,USA,HP,150.0
ford galaxie 500,1972,USA,HP,153.0
amc ambassador sst,1972,USA,HP,150.0
mercury marquis,1972,USA,HP,208.0
buick lesabre custom,1972,USA,HP,155.0
oldsmobile delta 88 royale,1972,USA,HP,160.0
chrysler newport royal,1972,USA,HP,190.0
mazda rx2 coupe,1972,Japan,HP,97.0
amc matador (sw),1972,USA,HP,150.0
chevrolet chevelle concours (sw),1972,USA,HP,130.0
ford gran torino (sw),1972,USA,HP,140.0
plymouth satellite custom (sw),1972,USA,HP,150.0
volvo 145e (sw),1972,Europe,HP,112.0
volkswagen 411 (sw),1972,Europe,HP,76.0
peugeot 504 (sw),1972,Europe,HP,87.0
renault 12 (sw),1972,Europe,HP,69.0
ford pinto (sw),1972,USA,HP,86.0
datsun 510 (sw),1972,Japan,HP,92.0
toyouta corona mark ii (sw),1972,Japan,HP,97.0
dodge colt (sw),1972,USA,HP,80.0
toyota corolla 1600 (sw),1972,Japan,HP,88.0
buick century 350,1973,USA,HP,175.0
amc matador,1973,USA,HP,150.0
chevrolet malibu,1973,USA,HP,145.0
ford gran torino,1973,USA,HP,137.0
dodge coronet custom,1973,USA,HP,150.0
mercury marquis brougham,1973,USA,HP,198.0
chevrolet caprice classic,1973,USA,HP,150.0
ford ltd,1973,USA,HP,158.0
plymouth fury gran sedan,1973,USA,HP,150.0
chrysler new yorker brougham,1973,USA,HP,215.0
buick electra 225 custom,1973,USA,HP,225.0
amc ambassador brougham,1973,USA,HP,175.0
plymouth valiant,1973,USA,HP,105.0
chevrolet nova custom,1973,USA,HP,100.0
amc hornet,1973,USA,HP,100.0
ford maverick,1973,USA,HP,88.0
plymouth duster,1973,USA,HP,95.0
volkswagen super beetle,1973,Europe,HP,46.0
chevrolet impala,1973,USA,HP,150.0
ford country,1973,USA,HP,167.0
plymouth custom suburb,1973,USA,HP,170.0
oldsmobile vista cruiser,1973,USA,HP,180.0
amc gremlin,1973,USA,HP,100.0
toyota carina,1973,Japan,HP,88.0
chevrolet vega,1973,USA,HP,72.0
datsun 610,1973,Japan,HP,94.0
maxda rx3,1973,Japan,HP,90.0
